log_type,event_id,reconstruction_completeness,ambiguity_rate,missing_evidence_rate,missing_fields,reconstruction_time_ms
baseline,evt-1,71.429,28.571,28.571,scope;proof,0.0026669999999978655
poia,evt-1,100.0,0.0,0.0,,0.0007499999999938112
baseline,evt-2,71.429,28.571,28.571,scope;proof,0.0006250000000040945
poia,evt-2,100.0,0.0,0.0,,0.0005000000000005
baseline,evt-3,71.429,28.571,28.571,scope;proof,0.0006659999999963917
poia,evt-3,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-4,71.429,28.571,28.571,scope;proof,0.00045900000000820285
poia,evt-4,100.0,0.0,0.0,,0.00045900000000820285
baseline,evt-5,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-5,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-6,71.429,28.571,28.571,scope;proof,0.000541000000006675
poia,evt-6,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-7,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-7,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-8,71.429,28.571,28.571,scope;proof,0.0004580000000087292
poia,evt-8,100.0,0.0,0.0,,0.0004580000000087292
baseline,evt-9,71.429,28.571,28.571,scope;proof,0.0006669999999958653
poia,evt-9,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-10,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-10,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-11,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-11,100.0,0.0,0.0,,0.00045900000000820285
baseline,evt-12,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-12,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-13,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-13,100.0,0.0,0.0,,0.00045900000000820285
baseline,evt-14,71.429,28.571,28.571,scope;proof,0.0004170000000025542
poia,evt-14,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-15,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-15,100.0,0.0,0.0,,0.0004580000000087292
baseline,evt-16,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-16,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-17,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-17,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-18,71.429,28.571,28.571,scope;proof,0.0005829999999984459
poia,evt-18,100.0,0.0,0.0,,0.0004580000000087292
baseline,evt-19,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-19,100.0,0.0,0.0,,0.00045900000000820285
baseline,evt-20,71.429,28.571,28.571,scope;proof,0.0004580000000087292
poia,evt-20,100.0,0.0,0.0,,0.0005000000000005
baseline,evt-21,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-21,100.0,0.0,0.0,,0.0006250000000040945
baseline,evt-22,71.429,28.571,28.571,scope;proof,0.0006669999999958653
poia,evt-22,100.0,0.0,0.0,,0.0005419999999922709
baseline,evt-23,71.429,28.571,28.571,scope;proof,0.0005419999999922709
poia,evt-23,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-24,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-24,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-25,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-25,100.0,0.0,0.0,,0.0007499999999938112
baseline,evt-26,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-26,100.0,0.0,0.0,,0.0005419999999922709
baseline,evt-27,71.429,28.571,28.571,scope;proof,0.00045900000000820285
poia,evt-27,100.0,0.0,0.0,,0.0005000000000005
baseline,evt-28,71.429,28.571,28.571,scope;proof,0.0006249999999902167
poia,evt-28,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-29,71.429,28.571,28.571,scope;proof,0.00045900000000820285
poia,evt-29,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-30,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-30,100.0,0.0,0.0,,0.0004580000000087292
baseline,evt-31,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-31,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-32,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-32,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-33,71.429,28.571,28.571,scope;proof,0.0007919999999994598
poia,evt-33,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-34,71.429,28.571,28.571,scope;proof,0.0005419999999922709
poia,evt-34,100.0,0.0,0.0,,0.0005839999999979195
baseline,evt-35,71.429,28.571,28.571,scope;proof,0.000709000000001514
poia,evt-35,100.0,0.0,0.0,,0.0005000000000005
baseline,evt-36,71.429,28.571,28.571,scope;proof,0.0004170000000025542
poia,evt-36,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-37,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-37,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-38,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-38,100.0,0.0,0.0,,0.0006249999999902167
baseline,evt-39,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-39,100.0,0.0,0.0,,0.0004580000000087292
baseline,evt-40,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-40,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-41,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-41,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-42,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-42,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-43,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-43,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-44,71.429,28.571,28.571,scope;proof,0.00045900000000820285
poia,evt-44,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-45,71.429,28.571,28.571,scope;proof,0.000541000000006675
poia,evt-45,100.0,0.0,0.0,,0.00045900000000820285
baseline,evt-46,71.429,28.571,28.571,scope;proof,0.000709000000001514
poia,evt-46,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-47,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-47,100.0,0.0,0.0,,0.0005829999999984459
baseline,evt-48,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-48,100.0,0.0,0.0,,0.00041699999998867643
baseline,evt-49,71.429,28.571,28.571,scope;proof,0.00045900000000820285
poia,evt-49,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-50,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-50,100.0,0.0,0.0,,0.0004580000000087292
baseline,evt-51,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-51,100.0,0.0,0.0,,0.0006669999999958653
baseline,evt-52,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-52,100.0,0.0,0.0,,0.00041699999998867643
baseline,evt-53,71.429,28.571,28.571,scope;proof,0.00045899999999432506
poia,evt-53,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-54,71.429,28.571,28.571,scope;proof,0.00045899999999432506
poia,evt-54,100.0,0.0,0.0,,0.0004580000000087292
baseline,evt-55,71.429,28.571,28.571,scope;proof,0.0006669999999958653
poia,evt-55,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-56,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-56,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-57,71.429,28.571,28.571,scope;proof,0.0004170000000025542
poia,evt-57,100.0,0.0,0.0,,0.0004580000000087292
baseline,evt-58,71.429,28.571,28.571,scope;proof,0.0006670000000097431
poia,evt-58,100.0,0.0,0.0,,0.0004580000000087292
baseline,evt-59,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-59,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-60,71.429,28.571,28.571,scope;proof,0.0013339999999917307
poia,evt-60,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-61,71.429,28.571,28.571,scope;proof,0.0014579999999958515
poia,evt-61,100.0,0.0,0.0,,0.0005409999999927972
baseline,evt-62,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-62,100.0,0.0,0.0,,0.00045900000000820285
baseline,evt-63,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-63,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-64,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-64,100.0,0.0,0.0,,0.0005419999999922709
baseline,evt-65,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-65,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-66,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-66,100.0,0.0,0.0,,0.0004580000000087292
baseline,evt-67,71.429,28.571,28.571,scope;proof,0.0007499999999938112
poia,evt-67,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-68,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-68,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-69,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-69,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-70,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-70,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-71,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-71,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-72,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-72,100.0,0.0,0.0,,0.00045900000000820285
baseline,evt-73,71.429,28.571,28.571,scope;proof,0.00045899999999432506
poia,evt-73,100.0,0.0,0.0,,0.0005829999999984459
baseline,evt-74,71.429,28.571,28.571,scope;proof,0.0005420000000061487
poia,evt-74,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-75,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-75,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-76,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-76,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-77,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-77,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-78,71.429,28.571,28.571,scope;proof,0.00045899999999432506
poia,evt-78,100.0,0.0,0.0,,0.0005839999999979195
baseline,evt-79,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-79,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-80,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-80,100.0,0.0,0.0,,0.0005000000000005
baseline,evt-81,71.429,28.571,28.571,scope;proof,0.00045899999999432506
poia,evt-81,100.0,0.0,0.0,,0.0004580000000087292
baseline,evt-82,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-82,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-83,71.429,28.571,28.571,scope;proof,0.0006250000000040945
poia,evt-83,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-84,71.429,28.571,28.571,scope;proof,0.0004580000000087292
poia,evt-84,100.0,0.0,0.0,,0.00045899999999432506
baseline,evt-85,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-85,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-86,71.429,28.571,28.571,scope;proof,0.0005829999999984459
poia,evt-86,100.0,0.0,0.0,,0.0004579999999948514
baseline,evt-87,71.429,28.571,28.571,scope;proof,0.0005829999999984459
poia,evt-87,100.0,0.0,0.0,,0.0005000000000005
baseline,evt-88,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-88,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-89,71.429,28.571,28.571,scope;proof,0.0004579999999948514
poia,evt-89,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-90,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-90,100.0,0.0,0.0,,0.00041600000000308057
baseline,evt-91,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-91,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-92,71.429,28.571,28.571,scope;proof,0.00045900000000820285
poia,evt-92,100.0,0.0,0.0,,0.00045900000000820285
baseline,evt-93,71.429,28.571,28.571,scope;proof,0.005417000000007555
poia,evt-93,100.0,0.0,0.0,,0.0005000000000005
baseline,evt-94,71.429,28.571,28.571,scope;proof,0.0005000000000005
poia,evt-94,100.0,0.0,0.0,,0.0004170000000025542
baseline,evt-95,71.429,28.571,28.571,scope;proof,0.0004579999999948514
