domain,trial,case,expected,actual,reason,correct,verification_ms
banking_transfer,1,exact_match,accept,accept,approved,True,0.023792000000008584
banking_transfer,1,amount_tamper,reject,reject,semantic_mismatch,True,0.01837500000000103
banking_transfer,1,recipient_tamper,reject,reject,semantic_mismatch,True,0.01962500000000922
banking_transfer,2,exact_match,accept,accept,approved,True,0.016833999999993354
banking_transfer,2,amount_tamper,reject,reject,semantic_mismatch,True,0.01708300000000107
banking_transfer,2,recipient_tamper,reject,reject,semantic_mismatch,True,0.017084000000000543
banking_transfer,3,exact_match,accept,accept,approved,True,0.016749999999995935
banking_transfer,3,amount_tamper,reject,reject,semantic_mismatch,True,0.04120800000000091
banking_transfer,3,recipient_tamper,reject,reject,semantic_mismatch,True,0.05433299999998975
banking_transfer,4,exact_match,accept,accept,approved,True,0.017792000000002584
banking_transfer,4,amount_tamper,reject,reject,semantic_mismatch,True,0.017417000000005678
banking_transfer,4,recipient_tamper,reject,reject,semantic_mismatch,True,0.017000000000003124
banking_transfer,5,exact_match,accept,accept,approved,True,0.016708000000004164
banking_transfer,5,amount_tamper,reject,reject,semantic_mismatch,True,0.01658300000000057
banking_transfer,5,recipient_tamper,reject,reject,semantic_mismatch,True,0.016665999999998515
banking_transfer,6,exact_match,accept,accept,approved,True,0.01645899999999645
banking_transfer,6,amount_tamper,reject,reject,semantic_mismatch,True,0.016707999999990286
banking_transfer,6,recipient_tamper,reject,reject,semantic_mismatch,True,0.01683299999999388
banking_transfer,7,exact_match,accept,accept,approved,True,0.01670899999998976
banking_transfer,7,amount_tamper,reject,reject,semantic_mismatch,True,0.016665999999998515
banking_transfer,7,recipient_tamper,reject,reject,semantic_mismatch,True,0.016584000000000043
banking_transfer,8,exact_match,accept,accept,approved,True,0.016584000000000043
banking_transfer,8,amount_tamper,reject,reject,semantic_mismatch,True,0.016665999999998515
banking_transfer,8,recipient_tamper,reject,reject,semantic_mismatch,True,0.016542000000008272
banking_transfer,9,exact_match,accept,accept,approved,True,0.016415999999991326
banking_transfer,9,amount_tamper,reject,reject,semantic_mismatch,True,0.016750000000009813
banking_transfer,9,recipient_tamper,reject,reject,semantic_mismatch,True,0.016499999999988746
banking_transfer,10,exact_match,accept,accept,approved,True,0.022166000000004016
banking_transfer,10,amount_tamper,reject,reject,semantic_mismatch,True,0.017042000000008772
banking_transfer,10,recipient_tamper,reject,reject,semantic_mismatch,True,0.016541999999994395
banking_transfer,11,exact_match,accept,accept,approved,True,0.016416000000005204
banking_transfer,11,amount_tamper,reject,reject,semantic_mismatch,True,0.01666699999999799
banking_transfer,11,recipient_tamper,reject,reject,semantic_mismatch,True,0.016292000000001083
banking_transfer,12,exact_match,accept,accept,approved,True,0.016249999999995435
banking_transfer,12,amount_tamper,reject,reject,semantic_mismatch,True,0.01633299999999338
banking_transfer,12,recipient_tamper,reject,reject,semantic_mismatch,True,0.016249999999995435
banking_transfer,13,exact_match,accept,accept,approved,True,0.016292000000001083
banking_transfer,13,amount_tamper,reject,reject,semantic_mismatch,True,0.016249999999995435
banking_transfer,13,recipient_tamper,reject,reject,semantic_mismatch,True,0.016209000000003138
banking_transfer,14,exact_match,accept,accept,approved,True,0.027332999999990504
banking_transfer,14,amount_tamper,reject,reject,semantic_mismatch,True,0.026791999999997707
banking_transfer,14,recipient_tamper,reject,reject,semantic_mismatch,True,0.017709000000004638
banking_transfer,15,exact_match,accept,accept,approved,True,0.01612499999999184
banking_transfer,15,amount_tamper,reject,reject,semantic_mismatch,True,0.016375000000012907
banking_transfer,15,recipient_tamper,reject,reject,semantic_mismatch,True,0.017125000000006718
banking_transfer,16,exact_match,accept,accept,approved,True,0.016167000000011367
banking_transfer,16,amount_tamper,reject,reject,semantic_mismatch,True,0.016249999999995435
banking_transfer,16,recipient_tamper,reject,reject,semantic_mismatch,True,0.016249999999995435
banking_transfer,17,exact_match,accept,accept,approved,True,0.025749999999991058
banking_transfer,17,amount_tamper,reject,reject,semantic_mismatch,True,0.03837500000000715
banking_transfer,17,recipient_tamper,reject,reject,semantic_mismatch,True,0.031000000000003247
banking_transfer,18,exact_match,accept,accept,approved,True,0.017416000000006204
banking_transfer,18,amount_tamper,reject,reject,semantic_mismatch,True,0.01683299999999388
banking_transfer,18,recipient_tamper,reject,reject,semantic_mismatch,True,0.02604100000000442
banking_transfer,19,exact_match,accept,accept,approved,True,0.01658300000000057
banking_transfer,19,amount_tamper,reject,reject,semantic_mismatch,True,0.016709000000003638
banking_transfer,19,recipient_tamper,reject,reject,semantic_mismatch,True,0.016749999999995935
banking_transfer,20,exact_match,accept,accept,approved,True,0.016792000000001583
banking_transfer,20,amount_tamper,reject,reject,semantic_mismatch,True,0.01658300000000057
banking_transfer,20,recipient_tamper,reject,reject,semantic_mismatch,True,0.01633299999999338
banking_transfer,21,exact_match,accept,accept,approved,True,0.016207999999989786
banking_transfer,21,amount_tamper,reject,reject,semantic_mismatch,True,0.016458000000010853
banking_transfer,21,recipient_tamper,reject,reject,semantic_mismatch,True,0.02495899999999107
banking_transfer,22,exact_match,accept,accept,approved,True,0.016500000000002624
banking_transfer,22,amount_tamper,reject,reject,semantic_mismatch,True,0.0164169999999908
banking_transfer,22,recipient_tamper,reject,reject,semantic_mismatch,True,0.016249999999995435
banking_transfer,23,exact_match,accept,accept,approved,True,0.016125000000005718
banking_transfer,23,amount_tamper,reject,reject,semantic_mismatch,True,0.016417000000004678
banking_transfer,23,recipient_tamper,reject,reject,semantic_mismatch,True,0.016457999999996975
banking_transfer,24,exact_match,accept,accept,approved,True,0.016416000000005204
banking_transfer,24,amount_tamper,reject,reject,semantic_mismatch,True,0.016625000000006218
banking_transfer,24,recipient_tamper,reject,reject,semantic_mismatch,True,0.016416000000005204
banking_transfer,25,exact_match,accept,accept,approved,True,0.01729100000000261
banking_transfer,25,amount_tamper,reject,reject,semantic_mismatch,True,0.017000000000003124
banking_transfer,25,recipient_tamper,reject,reject,semantic_mismatch,True,0.01666699999999799
banking_transfer,26,exact_match,accept,accept,approved,True,0.016708000000004164
banking_transfer,26,amount_tamper,reject,reject,semantic_mismatch,True,0.01683299999999388
banking_transfer,26,recipient_tamper,reject,reject,semantic_mismatch,True,0.016708000000004164
banking_transfer,27,exact_match,accept,accept,approved,True,0.016417000000004678
banking_transfer,27,amount_tamper,reject,reject,semantic_mismatch,True,0.016665999999998515
banking_transfer,27,recipient_tamper,reject,reject,semantic_mismatch,True,0.01666699999999799
banking_transfer,28,exact_match,accept,accept,approved,True,0.029000000000001247
banking_transfer,28,amount_tamper,reject,reject,semantic_mismatch,True,0.018291999999989206
banking_transfer,28,recipient_tamper,reject,reject,semantic_mismatch,True,0.018292000000003084
banking_transfer,29,exact_match,accept,accept,approved,True,0.017041999999994895
banking_transfer,29,amount_tamper,reject,reject,semantic_mismatch,True,0.017165999999999015
banking_transfer,29,recipient_tamper,reject,reject,semantic_mismatch,True,0.016958000000011353
banking_transfer,30,exact_match,accept,accept,approved,True,0.017542000000009272
banking_transfer,30,amount_tamper,reject,reject,semantic_mismatch,True,0.01679100000000211
banking_transfer,30,recipient_tamper,reject,reject,semantic_mismatch,True,0.01687499999999953
banking_transfer,31,exact_match,accept,accept,approved,True,0.01633299999999338
banking_transfer,31,amount_tamper,reject,reject,semantic_mismatch,True,0.01658300000000057
banking_transfer,31,recipient_tamper,reject,reject,semantic_mismatch,True,0.016415999999991326
banking_transfer,32,exact_match,accept,accept,approved,True,0.016416000000005204
banking_transfer,32,amount_tamper,reject,reject,semantic_mismatch,True,0.016500000000002624
banking_transfer,32,recipient_tamper,reject,reject,semantic_mismatch,True,0.016457999999996975
banking_transfer,33,exact_match,accept,accept,approved,True,0.0164169999999908
banking_transfer,33,amount_tamper,reject,reject,semantic_mismatch,True,0.01679100000000211
banking_transfer,33,recipient_tamper,reject,reject,semantic_mismatch,True,0.01662499999999234
banking_transfer,34,exact_match,accept,accept,approved,True,0.01637499999999903
banking_transfer,34,amount_tamper,reject,reject,semantic_mismatch,True,0.01633300000000726
banking_transfer,34,recipient_tamper,reject,reject,semantic_mismatch,True,0.01637499999999903
banking_transfer,35,exact_match,accept,accept,approved,True,0.016250000000009313
banking_transfer,35,amount_tamper,reject,reject,semantic_mismatch,True,0.017584000000001043
banking_transfer,35,recipient_tamper,reject,reject,semantic_mismatch,True,0.016792000000001583
banking_transfer,36,exact_match,accept,accept,approved,True,0.01637499999999903
banking_transfer,36,amount_tamper,reject,reject,semantic_mismatch,True,0.01687499999999953
banking_transfer,36,recipient_tamper,reject,reject,semantic_mismatch,True,0.0164169999999908
banking_transfer,37,exact_match,accept,accept,approved,True,0.016457999999996975
banking_transfer,37,amount_tamper,reject,reject,semantic_mismatch,True,0.016750000000009813
banking_transfer,37,recipient_tamper,reject,reject,semantic_mismatch,True,0.016292000000001083
banking_transfer,38,exact_match,accept,accept,approved,True,0.016250000000009313
banking_transfer,38,amount_tamper,reject,reject,semantic_mismatch,True,0.016208000000003664
banking_transfer,38,recipient_tamper,reject,reject,semantic_mismatch,True,0.016125000000005718
banking_transfer,39,exact_match,accept,accept,approved,True,0.016125000000005718
banking_transfer,39,amount_tamper,reject,reject,semantic_mismatch,True,0.016249999999995435
banking_transfer,39,recipient_tamper,reject,reject,semantic_mismatch,True,0.016209000000003138
banking_transfer,40,exact_match,accept,accept,approved,True,0.01620899999998926
banking_transfer,40,amount_tamper,reject,reject,semantic_mismatch,True,0.016207999999989786
banking_transfer,40,recipient_tamper,reject,reject,semantic_mismatch,True,0.015957999999996475
banking_transfer,41,exact_match,accept,accept,approved,True,0.0160410000000083
banking_transfer,41,amount_tamper,reject,reject,semantic_mismatch,True,0.016165999999998015
banking_transfer,41,recipient_tamper,reject,reject,semantic_mismatch,True,0.01666699999999799
banking_transfer,42,exact_match,accept,accept,approved,True,0.016165999999998015
banking_transfer,42,amount_tamper,reject,reject,semantic_mismatch,True,0.016250000000009313
banking_transfer,42,recipient_tamper,reject,reject,semantic_mismatch,True,0.01608300000000007
banking_transfer,43,exact_match,accept,accept,approved,True,0.016250000000009313
banking_transfer,43,amount_tamper,reject,reject,semantic_mismatch,True,0.016249999999995435
banking_transfer,43,recipient_tamper,reject,reject,semantic_mismatch,True,0.01616699999999749
banking_transfer,44,exact_match,accept,accept,approved,True,0.01620899999998926
banking_transfer,44,amount_tamper,reject,reject,semantic_mismatch,True,0.016375000000012907
banking_transfer,44,recipient_tamper,reject,reject,semantic_mismatch,True,0.016458000000010853
banking_transfer,45,exact_match,accept,accept,approved,True,0.01629100000000161
banking_transfer,45,amount_tamper,reject,reject,semantic_mismatch,True,0.0164169999999908
banking_transfer,45,recipient_tamper,reject,reject,semantic_mismatch,True,0.016499999999988746
banking_transfer,46,exact_match,accept,accept,approved,True,0.016749999999995935
banking_transfer,46,amount_tamper,reject,reject,semantic_mismatch,True,0.016500000000002624
banking_transfer,46,recipient_tamper,reject,reject,semantic_mismatch,True,0.016542000000008272
banking_transfer,47,exact_match,accept,accept,approved,True,0.016249999999995435
banking_transfer,47,amount_tamper,reject,reject,semantic_mismatch,True,0.016500000000002624
banking_transfer,47,recipient_tamper,reject,reject,semantic_mismatch,True,0.016417000000004678
banking_transfer,48,exact_match,accept,accept,approved,True,0.016249999999995435
banking_transfer,48,amount_tamper,reject,reject,semantic_mismatch,True,0.016541999999994395
banking_transfer,48,recipient_tamper,reject,reject,semantic_mismatch,True,0.0164169999999908
banking_transfer,49,exact_match,accept,accept,approved,True,0.016209000000003138
banking_transfer,49,amount_tamper,reject,reject,semantic_mismatch,True,0.016500000000002624
banking_transfer,49,recipient_tamper,reject,reject,semantic_mismatch,True,0.021792000000006584
banking_transfer,50,exact_match,accept,accept,approved,True,0.016415999999991326
banking_transfer,50,amount_tamper,reject,reject,semantic_mismatch,True,0.017165999999999015
banking_transfer,50,recipient_tamper,reject,reject,semantic_mismatch,True,0.016500000000002624
banking_transfer,51,exact_match,accept,accept,approved,True,0.01637499999999903
banking_transfer,51,amount_tamper,reject,reject,semantic_mismatch,True,0.016417000000004678
banking_transfer,51,recipient_tamper,reject,reject,semantic_mismatch,True,0.016417000000004678
banking_transfer,52,exact_match,accept,accept,approved,True,0.07812499999999833
banking_transfer,52,amount_tamper,reject,reject,semantic_mismatch,True,0.01833299999999538
banking_transfer,52,recipient_tamper,reject,reject,semantic_mismatch,True,0.016249999999995435
banking_transfer,53,exact_match,accept,accept,approved,True,0.01608300000000007
banking_transfer,53,amount_tamper,reject,reject,semantic_mismatch,True,0.01616699999999749
banking_transfer,53,recipient_tamper,reject,reject,semantic_mismatch,True,0.01620899999998926
banking_transfer,54,exact_match,accept,accept,approved,True,0.016042000000007772
banking_transfer,54,amount_tamper,reject,reject,semantic_mismatch,True,0.06462499999999871
banking_transfer,54,recipient_tamper,reject,reject,semantic_mismatch,True,0.05020800000000991
banking_transfer,55,exact_match,accept,accept,approved,True,0.06887499999999602
banking_transfer,55,amount_tamper,reject,reject,semantic_mismatch,True,0.0205410000000128
banking_transfer,55,recipient_tamper,reject,reject,semantic_mismatch,True,0.01712499999999284
banking_transfer,56,exact_match,accept,accept,approved,True,0.016792000000001583
banking_transfer,56,amount_tamper,reject,reject,semantic_mismatch,True,0.034834000000011356
banking_transfer,56,recipient_tamper,reject,reject,semantic_mismatch,True,0.017209000000004138
banking_transfer,57,exact_match,accept,accept,approved,True,0.016499999999988746
banking_transfer,57,amount_tamper,reject,reject,semantic_mismatch,True,0.016500000000002624
banking_transfer,57,recipient_tamper,reject,reject,semantic_mismatch,True,0.016625000000006218
banking_transfer,58,exact_match,accept,accept,approved,True,0.016457999999996975
banking_transfer,58,amount_tamper,reject,reject,semantic_mismatch,True,0.018957999999999475
banking_transfer,58,recipient_tamper,reject,reject,semantic_mismatch,True,0.01687499999999953
banking_transfer,59,exact_match,accept,accept,approved,True,0.01658300000000057
banking_transfer,59,amount_tamper,reject,reject,semantic_mismatch,True,0.016625000000006218
banking_transfer,59,recipient_tamper,reject,reject,semantic_mismatch,True,0.016500000000002624
