trial,scenario,category,expected,actual,expected_reason,actual_reason,correct
1,exact_match,correct_acceptance,accept,accept,approved,approved,True
2,exact_match,correct_acceptance,accept,accept,approved,approved,True
3,exact_match,correct_acceptance,accept,accept,approved,approved,True
4,exact_match,correct_acceptance,accept,accept,approved,approved,True
5,exact_match,correct_acceptance,accept,accept,approved,approved,True
6,exact_match,correct_acceptance,accept,accept,approved,approved,True
7,exact_match,correct_acceptance,accept,accept,approved,approved,True
8,exact_match,correct_acceptance,accept,accept,approved,approved,True
9,exact_match,correct_acceptance,accept,accept,approved,approved,True
10,exact_match,correct_acceptance,accept,accept,approved,approved,True
11,exact_match,correct_acceptance,accept,accept,approved,approved,True
12,exact_match,correct_acceptance,accept,accept,approved,approved,True
13,exact_match,correct_acceptance,accept,accept,approved,approved,True
14,exact_match,correct_acceptance,accept,accept,approved,approved,True
15,exact_match,correct_acceptance,accept,accept,approved,approved,True
16,exact_match,correct_acceptance,accept,accept,approved,approved,True
17,exact_match,correct_acceptance,accept,accept,approved,approved,True
18,exact_match,correct_acceptance,accept,accept,approved,approved,True
19,exact_match,correct_acceptance,accept,accept,approved,approved,True
20,exact_match,correct_acceptance,accept,accept,approved,approved,True
21,exact_match,correct_acceptance,accept,accept,approved,approved,True
22,exact_match,correct_acceptance,accept,accept,approved,approved,True
23,exact_match,correct_acceptance,accept,accept,approved,approved,True
24,exact_match,correct_acceptance,accept,accept,approved,approved,True
25,exact_match,correct_acceptance,accept,accept,approved,approved,True
26,exact_match,correct_acceptance,accept,accept,approved,approved,True
27,exact_match,correct_acceptance,accept,accept,approved,approved,True
28,exact_match,correct_acceptance,accept,accept,approved,approved,True
29,exact_match,correct_acceptance,accept,accept,approved,approved,True
30,exact_match,correct_acceptance,accept,accept,approved,approved,True
31,exact_match,correct_acceptance,accept,accept,approved,approved,True
32,exact_match,correct_acceptance,accept,accept,approved,approved,True
33,exact_match,correct_acceptance,accept,accept,approved,approved,True
34,exact_match,correct_acceptance,accept,accept,approved,approved,True
35,exact_match,correct_acceptance,accept,accept,approved,approved,True
36,exact_match,correct_acceptance,accept,accept,approved,approved,True
37,exact_match,correct_acceptance,accept,accept,approved,approved,True
38,exact_match,correct_acceptance,accept,accept,approved,approved,True
39,exact_match,correct_acceptance,accept,accept,approved,approved,True
40,exact_match,correct_acceptance,accept,accept,approved,approved,True
41,exact_match,correct_acceptance,accept,accept,approved,approved,True
42,exact_match,correct_acceptance,accept,accept,approved,approved,True
43,exact_match,correct_acceptance,accept,accept,approved,approved,True
44,exact_match,correct_acceptance,accept,accept,approved,approved,True
45,exact_match,correct_acceptance,accept,accept,approved,approved,True
46,exact_match,correct_acceptance,accept,accept,approved,approved,True
47,exact_match,correct_acceptance,accept,accept,approved,approved,True
48,exact_match,correct_acceptance,accept,accept,approved,approved,True
49,exact_match,correct_acceptance,accept,accept,approved,approved,True
50,exact_match,correct_acceptance,accept,accept,approved,approved,True
51,exact_match,correct_acceptance,accept,accept,approved,approved,True
52,exact_match,correct_acceptance,accept,accept,approved,approved,True
53,exact_match,correct_acceptance,accept,accept,approved,approved,True
54,exact_match,correct_acceptance,accept,accept,approved,approved,True
55,exact_match,correct_acceptance,accept,accept,approved,approved,True
56,exact_match,correct_acceptance,accept,accept,approved,approved,True
57,exact_match,correct_acceptance,accept,accept,approved,approved,True
58,exact_match,correct_acceptance,accept,accept,approved,approved,True
59,exact_match,correct_acceptance,accept,accept,approved,approved,True
60,exact_match,correct_acceptance,accept,accept,approved,approved,True
1,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
2,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
3,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
4,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
5,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
6,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
7,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
8,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
9,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
10,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
11,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
12,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
13,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
14,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
15,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
16,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
17,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
18,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
19,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
20,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
21,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
22,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
23,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
24,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
25,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
26,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
27,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
28,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
29,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
30,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
31,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
32,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
33,canonicalization_order_equivalent,canonicalization_order,accept,accept,approved,approved,True
