trial,scenario,mode,accepted,expected_accept,correct,reason,verification_overhead_ms
1,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.009875000000006406
1,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.029000000000001247
1,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.006290999999991609
1,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.02362499999999934
1,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.00608400000000342
1,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.02316700000000449
1,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.0058329999999967574
1,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.02229100000000761
2,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.006124999999995717
2,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.0224169999999968
2,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005707999999993163
2,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.022208000000009664
2,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
2,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.022416000000011205
2,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
2,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.022999999999995246
3,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005999999999992123
3,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.0224169999999968
3,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005667000000000866
3,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.022000000000008124
3,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005625000000009095
3,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.022084000000005544
3,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.0057919999999905825
3,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.021958000000002476
4,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005707999999993163
4,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.021499999999993746
4,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005583000000003446
4,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.021750000000000935
4,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005708999999992637
4,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.021957999999988598
4,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
4,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.022084000000005544
5,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.019916000000008705
5,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.029666999999997112
5,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.0062919999999910825
5,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.023250000000002435
5,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005916000000008581
5,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.022915999999997827
5,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005874999999988528
5,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.0229169999999973
6,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.007582999999991569
6,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.023082999999993192
6,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
6,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.02258300000000657
6,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.0057919999999905825
6,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.022500000000008624
6,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
6,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.022209000000009138
7,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.006249999999999312
7,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.022582999999992692
7,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
7,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.022250000000001435
7,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005708000000007041
7,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.02245899999998857
7,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.0057919999999905825
7,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.02283299999999988
8,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.006165999999988014
8,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.022334000000012733
8,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005791000000004987
8,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.02183299999999888
8,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005667000000000866
8,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.021750000000000935
8,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005709000000006514
8,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.02170899999999476
9,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005833999999996231
9,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.04999999999999449
9,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.006125000000009595
9,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.02229100000000761
9,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005708000000007041
9,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.022250000000001435
9,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
9,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.0219169999999963
10,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005999999999992123
10,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.022041999999999895
10,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005708999999992637
10,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.02183299999999888
10,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005708000000007041
10,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.02166700000000299
10,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.00558400000000292
10,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.02162499999999734
11,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005916999999994177
11,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.021957999999988598
11,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005667000000000866
11,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.021792000000006584
11,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005707999999993163
11,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.021790999999993232
11,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005749999999998812
11,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.02158300000000557
12,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005875000000002406
12,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.02216700000000349
12,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.00579200000000446
12,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.021792000000006584
12,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005708000000007041
12,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.02183299999999888
12,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005667000000000866
12,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.022083999999991666
13,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005834000000010109
13,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.0219169999999963
13,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005875000000002406
13,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.021792000000006584
13,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005624999999995217
13,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.02262499999999834
13,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005875000000002406
13,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.022999999999995246
14,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005917000000008055
14,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.022207999999995787
14,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005583000000003446
14,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.022542000000000395
14,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005750000000012689
14,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.022291999999993206
14,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.005790999999991109
14,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.022333999999998855
15,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.005916999999994177
15,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.022041999999999895
15,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005707999999993163
15,cross_action_token_misuse,oauth_plus_poia,False,False,True,intent_mismatch,0.022000000000008124
15,api_tampering_wrong_key,oauth_only,True,True,True,oauth_scope_authorized,0.005707999999993163
15,api_tampering_wrong_key,oauth_plus_poia,False,False,True,intent_mismatch,0.04891699999999555
15,api_tampering_wrong_project,oauth_only,True,True,True,oauth_scope_authorized,0.008458000000002852
15,api_tampering_wrong_project,oauth_plus_poia,False,False,True,intent_mismatch,0.024749999999990058
16,legitimate_api_call,oauth_only,True,True,True,oauth_scope_authorized,0.006749999999999812
16,legitimate_api_call,oauth_plus_poia,True,True,True,oauth_and_poia_authorized,0.023458000000003976
16,cross_action_token_misuse,oauth_only,True,True,True,oauth_scope_authorized,0.005874999999988528
