mode,configuration,users,operations,server_side_throughput_ops_per_second,intent_construction_median_ms,canonicalization_median_ms,signature_generation_median_ms,verification_median_ms,server_side_latency_median_ms,end_to_end_latency_median_ms,end_to_end_latency_p95_ms,modeled_user_interaction_ms
baseline,Baseline session authorization,1,20,33259.386630391265,0.00025,0.003125,0.0,0.00425,0.008208,0.008208,0.017779200000000016,0.0
poia_webauthn,PoIA with WebAuthn,1,20,23731.83031741314,0.000834,0.005209,0.0102915,0.007417,0.024417,5500.024417,5500.0324542,5500.0
poia_zt_authenticator,PoIA with ZT-Authenticator,1,20,21303.973617159212,0.000875,0.0054164999999999994,0.0073124999999999996,0.0077705,0.0221875,3400.0221874999997,3400.0350669500003,3400.0
baseline,Baseline session authorization,10,200,39952.727932310496,0.00025,0.003166,0.0,0.004417,0.0083545,0.0083545,0.010092299999999997,0.0
poia_webauthn,PoIA with WebAuthn,10,200,23398.654577361765,0.000833,0.005375,0.010291,0.007459,0.024584,5500.024584,5500.032090250001,5500.0
poia_zt_authenticator,PoIA with ZT-Authenticator,10,200,25290.57607379998,0.000833,0.0052705,0.006791,0.007375,0.021104,3400.0211040000004,3400.0294538499998,3400.0
baseline,Baseline session authorization,50,1000,47753.02213357351,0.00025,0.002916,0.0,0.004167,0.007792,0.007792,0.010335099999999998,0.0
poia_webauthn,PoIA with WebAuthn,50,1000,17650.407105757375,0.000834,0.005375,0.010416499999999999,0.007542,0.024833,5500.024833,5500.0753652,5500.0
poia_zt_authenticator,PoIA with ZT-Authenticator,50,1000,20719.663103250652,0.000833,0.005375,0.006875,0.0075,0.021209,3400.021209,3400.06472675,3400.0
baseline,Baseline session authorization,100,2000,47869.12504621763,0.00025,0.002875,0.0,0.004084,0.007708,0.007708,0.00995805,0.0
poia_webauthn,PoIA with WebAuthn,100,2000,22746.27103319249,0.000833,0.005291,0.01025,0.007417,0.024458,5500.024458,5500.038504149999,5500.0
poia_zt_authenticator,PoIA with ZT-Authenticator,100,2000,30839.608178460545,0.000792,0.005125,0.006458,0.007166,0.020042,3400.020042,3400.0239673,3400.0
baseline,Baseline session authorization,200,4000,51446.28364908489,0.00025,0.002833,0.0,0.004,0.0075,0.0075,0.008625,0.0
poia_webauthn,PoIA with WebAuthn,200,4000,23337.824289205877,0.000833,0.005291,0.01025,0.007417,0.024375,5500.024375,5500.03847355,5500.0
poia_zt_authenticator,PoIA with ZT-Authenticator,200,4000,30306.550914028143,0.000792,0.0051455,0.006458,0.007166,0.020166,3400.020166,3400.0235,3400.0
