trial,mode,scenario,display_name,expected_poia_denial_reason,accepted,attack_success,correct_rejection,incorrect_acceptance,reason
1,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
1,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
2,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
2,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
3,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
3,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
4,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
4,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
5,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
5,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
6,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
6,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
7,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
7,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
8,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
8,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
9,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
9,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
10,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
10,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
11,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
11,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
12,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
12,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
13,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
13,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
14,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
14,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
15,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
15,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
16,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
16,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
17,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
17,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
18,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
18,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
19,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
19,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
20,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
20,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
21,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
21,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
22,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
22,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
23,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
23,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
24,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
24,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
25,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
25,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
26,baseline,replay_attack,Replay attack,nonce_reuse,True,True,False,True,session_only_authorized
26,poia,replay_attack,Replay attack,nonce_reuse,False,False,True,False,nonce_reuse
