backend,configuration,trial,available,success,failure_reason,signing_latency_ms,verification_latency_ms,server_side_latency_ms,end_to_end_latency_ms
webauthn_platform,WebAuthn platform authenticator,1,True,True,,0.008833,0.011334,0.056667,5500.056667
webauthn_platform,WebAuthn platform authenticator,2,True,True,,0.004167,0.008583,0.028958,5500.028958
webauthn_platform,WebAuthn platform authenticator,3,True,True,,0.002458,0.008083,0.0255,5500.0255
webauthn_platform,WebAuthn platform authenticator,4,True,True,,0.002333,0.008083,0.025333,5500.025333
webauthn_platform,WebAuthn platform authenticator,5,True,True,,0.002292,0.007792,0.02475,5500.02475
webauthn_platform,WebAuthn platform authenticator,6,True,True,,0.002292,0.007667,0.024542,5500.024542
webauthn_platform,WebAuthn platform authenticator,7,True,True,,0.00225,0.007625,0.02475,5500.02475
webauthn_platform,WebAuthn platform authenticator,8,True,True,,0.00225,0.007541,0.02375,5500.02375
webauthn_platform,WebAuthn platform authenticator,9,True,True,,0.002333,0.007791,0.024458,5500.024458
webauthn_platform,WebAuthn platform authenticator,10,True,True,,0.002333,0.007792,0.024958,5500.024958
webauthn_platform,WebAuthn platform authenticator,11,True,True,,0.002291,0.007708,0.024458,5500.024458
webauthn_platform,WebAuthn platform authenticator,12,True,True,,0.002291,0.007709,0.0245,5500.0245
webauthn_platform,WebAuthn platform authenticator,13,True,True,,0.002375,0.007625,0.024375,5500.024375
webauthn_platform,WebAuthn platform authenticator,14,True,True,,0.002334,0.007666,0.024208,5500.024208
webauthn_platform,WebAuthn platform authenticator,15,True,True,,0.002375,0.007708,0.024208,5500.024208
webauthn_platform,WebAuthn platform authenticator,16,True,True,,0.002334,0.007666,0.024458,5500.024458
webauthn_platform,WebAuthn platform authenticator,17,True,True,,0.002333,0.007667,0.024166,5500.024166
webauthn_platform,WebAuthn platform authenticator,18,True,True,,0.00225,0.007541,0.023958,5500.023958
webauthn_platform,WebAuthn platform authenticator,19,True,True,,0.002292,0.007708,0.024167,5500.024167
webauthn_platform,WebAuthn platform authenticator,20,True,True,,0.002333,0.007542,0.024084,5500.024084
